ID,height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans
4541,174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756
4553,16,427,6832,26.688,0.4,0.632,5.56,2736,4316,492
4594,11,195,2145,17.727,0.358,0.781,3,768,1676,256
4618,3,4,12,1.333,0.917,0.917,11,11,11,1
4630,10,256,2560,25.6,0.363,0.765,2.84,928,1959,327
4639,9,155,1395,17.222,0.346,0.731,2.44,483,1020,198
4672,1,45,45,45,0.244,1,1.38,11,45,8
4690,3,4,12,1.333,0.917,0.917,11,11,11,1
4692,4,2,8,0.5,1,1,8,8,8,1
4694,11,22,242,2,0.624,0.88,9.44,151,213,16
4708,8,64,512,8,0.541,0.947,3.85,277,485,72
4709,77,271,20867,3.519,0.478,0.744,11.28,9981,15523,885
4725,7,13,91,1.857,0.791,0.978,6,72,89,12
4729,8,13,104,1.625,0.625,0.817,5.91,65,85,11
4767,9,159,1431,17.667,0.249,0.605,1.93,356,866,184
4774,7,219,1533,31.286,0.195,0.617,1.44,299,946,207
4785,8,76,608,9.5,0.232,0.51,1.88,141,310,75
4796,17,24,408,1.412,0.426,0.792,4.46,174,323,39
4828,8,117,936,14.625,0.173,0.642,1.3,162,601,125
4832,6,21,126,3.5,0.198,0.444,1.67,25,56,15
4833,6,47,282,7.833,0.177,0.45,1.61,50,127,31
4839,8,208,1664,26,0.194,0.491,1.65,323,817,196
4846,18,185,3330,10.278,0.163,0.358,2.39,544,1193,228
4847,8,242,1936,30.25,0.232,0.611,1.72,450,1183,262
4878,14,192,2688,13.714,0.234,0.589,2.28,628,1584,275
4883,9,333,2997,37,0.237,0.671,1.57,711,2011,452
4924,5,96,480,19.2,0.404,0.817,2.77,194,392,70
4926,5,94,470,18.8,0.277,0.945,1.63,130,444,80
4942,7,19,133,2.714,0.286,0.632,1.65,38,84,23
4943,6,95,570,15.833,0.256,0.768,1.78,146,438,82
4945,6,95,570,15.833,0.226,0.933,1.45,129,532,89
4954,7,97,679,13.857,0.211,0.791,1.51,143,537,95
4957,5,97,485,19.4,0.334,0.831,1.98,162,403,82
4963,6,96,576,16,0.262,0.842,1.51,151,485,100
4964,10,303,3030,30.3,0.179,0.669,1.32,543,2028,410
4967,10,284,2840,28.4,0.202,0.709,1.43,575,2013,402
4975,4,96,384,24,0.479,0.878,2.56,184,337,72
4978,16,92,1472,5.75,0.245,0.522,3.61,361,769,100
4985,63,66,4158,1.048,0.491,0.591,44.37,2041,2458,46
4995,11,252,2772,22.909,0.092,0.095,63.75,255,262,4
5027,7,12,84,1.714,0.226,0.607,2.38,19,51,8
5030,1,63,63,63,0.952,1,20,60,63,3
5031,8,48,384,6,0.396,0.924,2.03,152,355,75
5050,8,77,616,9.625,0.232,0.731,1.47,143,450,97
5053,6,10,60,1.667,0.183,0.65,1.83,11,39,6
5056,1,91,91,91,0.352,1,1.03,32,91,31
5064,1,22,22,22,0.318,1,1.17,7,22,6
5086,67,296,19832,4.418,0.088,0.285,1.54,1748,5649,1134
5090,9,55,495,6.111,0.275,0.661,1.92,136,327,71
5096,6,20,120,3.333,0.317,0.983,1.52,38,118,25
5100,7,6,42,0.857,0.286,0.857,1.71,12,36,7
5108,7,34,238,4.857,0.223,0.916,1.33,53,218,40
5126,8,32,256,4,0.23,0.613,1.4,59,157,42
5127,9,52,468,5.778,0.203,0.626,1.38,95,293,69
5143,7,22,154,3.143,0.097,0.403,1.36,15,62,11
5147,5,15,75,3,0.093,0.347,1.4,7,26,5
5149,7,35,245,5,0.245,0.804,1.36,60,197,44
5150,7,40,280,5.714,0.229,0.682,1.25,64,191,51
5165,7,15,105,2.143,0.181,0.61,2.71,19,64,7
5167,8,39,312,4.875,0.205,0.712,1.36,64,222,47
5168,6,8,48,1.333,0.417,1,2.86,20,48,7
5169,8,42,336,5.25,0.259,0.756,1.74,87,254,50
5170,5,29,145,5.8,0.276,0.779,1.6,40,113,25
5189,38,227,8626,5.974,0.304,0.648,7.09,2623,5593,370
5202,10,22,220,2.2,0.323,0.814,2.09,71,179,34
5203,3,550,1650,183.33,0.329,0.375,27.15,543,619,20
5220,10,18,180,1.8,0.289,0.744,2.6,52,134,20
5224,14,422,5908,30.143,0.18,0.58,1.7,1062,3426,624
5232,13,423,5499,32.538,0.188,0.762,1.64,1034,4191,632
5233,9,18,162,2,0.309,0.901,2.63,50,146,19
5238,13,188,2444,14.462,0.188,0.71,1.67,460,1736,275
5239,13,377,4901,29,0.178,0.746,1.59,872,3655,548
5241,10,20,200,2,0.29,0.795,2.52,58,159,23
5242,8,22,176,2.75,0.324,0.909,1.78,57,160,32
5247,14,348,4872,24.857,0.169,0.676,1.56,822,3293,526
5248,13,218,2834,16.769,0.216,0.737,1.78,612,2090,344
5257,13,44,572,3.385,0.171,0.712,1.61,98,407,61
5264,8,65,520,8.125,0.302,0.908,1.74,157,472,90
5271,6,96,576,16,0.238,0.778,1.38,137,448,99
5272,7,158,1106,22.571,0.239,0.952,1.33,264,1053,198
5277,7,41,287,5.857,0.261,0.885,1.32,75,254,57
5294,6,13,78,2.167,0.231,0.487,3,18,38,6
5303,9,231,2079,25.667,0.196,0.637,1.49,407,1324,274
5368,10,10,100,1,0.56,0.91,4,56,91,14
5370,33,180,5940,5.455,0.236,0.611,1.68,1400,3627,835
5374,10,82,820,8.2,0.3,0.832,2.05,246,682,120
5393,11,303,3333,27.545,0.183,0.268,4.97,611,892,123
5429,7,1,7,0.143,1,1,7,7,7,1
5440,11,156,1716,14.182,0.224,0.71,1.52,385,1219,253
5448,1,9,9,9,1,1,9,9,9,1
5449,14,125,1750,8.929,0.289,0.734,2.21,505,1285,228
5453,11,12,132,1.091,0.492,0.75,4.33,65,99,15
5457,10,165,1650,16.5,0.258,0.695,1.65,426,1147,258
